State,Month,Record High (øC),Average High (øC),Daily Mean (øC),Average Low (øC),Record Low (øC),Avg Precipitation (mm),Avg Precipitation Days (ò 1.0 mm),Avg Relative Humidity (%),Mean Monthly Sunshine hours
Andhra Pradesh,Jan,35,30.13,25.85,18.5,12,9.07,2.27,71.66,9.87
Andhra Pradesh,Feb,39,32.96,28.14,19.64,15,5.29,1.09,66.99,11.42
Andhra Pradesh,Mar,43,36.54,31.62,23.11,17,4.93,1.27,61.93,11.37
Andhra Pradesh,Apr,46,39.22,34.31,26.33,22,6.82,1.82,59.36,12.33
Andhra Pradesh,May,48,41.82,37.48,29.77,26,19.06,3.09,48.19,12.84
Andhra Pradesh,Jun,46,37.32,34.63,27.93,19,74.88,12.55,51.37,12.41
Andhra Pradesh,Jul,41,34.72,32.46,27.09,19,76.28,12.73,57.68,11.99
Andhra Pradesh,Aug,39,33.17,31.51,27.03,19,103.36,16.45,63.61,11.81
Andhra Pradesh,Sep,37,33.17,30.58,25.93,19,91.67,16.16,70.34,11.48
Andhra Pradesh,Oct,38,32.18,29.03,23.6,15,101.15,14.45,73.54,8.02
Andhra Pradesh,Nov,34,30.05,26.52,20.68,13,65.85,8.09,75.35,8.02
Andhra Pradesh,Dec,33,29.35,25.46,18.96,12,12.15,3.18,72.03,10.48
Arunachal Pradesh,Jan,29,23.86,18.52,10.6,6,14.67,3.91,61.69,8.61
Arunachal Pradesh,Feb,34,26.46,21.31,13.4,7,42.22,6.27,60.71,10.83
Arunachal Pradesh,Mar,37,29.64,24.54,16.38,10,61.5,12.18,59.99,10.97
Arunachal Pradesh,Apr,41,31.25,26.57,19.09,15,135.16,19.82,68.05,10.57
Arunachal Pradesh,May,40,32.3,28.29,21.46,14,189.01,24.27,75.28,11.15
Arunachal Pradesh,Jun,40,32.13,28.12,24.01,20,326.14,25.82,82.31,12.29
Arunachal Pradesh,Jul,39,30.94,28.43,24.33,22,491.69,27.27,84.47,11.71
Arunachal Pradesh,Aug,39,32.52,29.41,24.67,17,408.88,26.91,83.56,10.09
Arunachal Pradesh,Sep,37,31.46,28.1,23.24,15,276.12,22.55,77.74,9.81
Arunachal Pradesh,Oct,32,30.45,25.91,19.6,13,15.61,4.18,72.32,10.59
Arunachal Pradesh,Nov,28,26.89,21.73,14.5,5,46.12,2,66.9,10.64
Arunachal Pradesh,Dec,28,24.1,19.08,11.87,5,61,1.56,65.6,10.03
Assam,Jan,29,23.97,19.23,12.1,7,13,4.45,68.54,8.46
Assam,Feb,33,27.55,22.46,14.25,8,19.07,3.64,61.35,10.73
Assam,Mar,39,31.63,26.69,17.77,12,35.8,9,53.99,11.24
Assam,Apr,41,32.95,28.44,20.79,17,115.06,20.91,64.35,11.03
